site_name,lon,lat,area_ha,depth_m,vol_m3,vol_unc_m3,tonnage_t,tonnage_p10_t,tonnage_p50_t,tonnage_p90_t,th_stream_ppm,th_insitu_proxy,monazite_ppm,lree_ppm,ndpr_ppm,ndpr_tonnes,ndpr_t_p10,ndpr_t_p50,ndpr_t_p90,y_stream_ppm,xenotime_ppm,y2o3_t_p50,y2o3_t_p10,y2o3_t_p90,lidar_year,lidar_res_m,topo_year,topo_contour_ft,confidence,source_lith_score,priority_score_t1
Sanpoil River Placer,-118.85,48.2,9.0,4.5,405000,180000,607500,251812,603659,945834,69.0,345.0,7841.0,2195.0,706.0,400.8,148.5,400.8,812.0,0.0,0.0,0.0,0.0,0.0,2013,2.0,1964,40,LOW,3.0,1
Colville Placer,-117.9,48.55,7.0,3.5,245000,105000,367500,153243,364767,576498,54.0,270.0,6136.0,1718.0,552.0,194.0,73.7,194.0,393.1,0.0,0.0,0.0,0.0,0.0,2020,0.5,1972,20,HIGH,2.05,2
Conconully Placer,-119.75,48.55,8.5,4.0,340000,127500,510000,255721,502806,750622,32.0,160.0,3636.0,1018.0,327.0,158.2,67.7,158.2,317.1,0.0,0.0,0.0,0.0,0.0,2016,1.0,1966,40,MEDIUM,3.0,1
Oroville Placer,-119.43,48.94,22.0,5.0,1100000,440000,1650000,786628,1648173,2526326,8.0,40.0,909.0,255.0,82.0,129.6,53.4,129.6,251.6,0.0,0.0,0.0,0.0,0.0,2021,0.5,1971,20,HIGH,3.0,0
Old Dominion Mine,-118.25,48.43,12.0,8.0,960000,360000,1440000,760281,1449031,2134974,8.0,40.0,909.0,255.0,82.0,116.8,51.2,116.8,227.2,99.5,1309.0,698.8,281.3,1514.1,2013,2.0,1958,80,LOW,2.44,1
Republic Gold District,-118.73,48.65,15.0,6.0,900000,300000,1350000,805561,1353620,1919810,8.0,40.0,909.0,255.0,82.0,107.4,51.4,107.4,208.4,0.0,0.0,0.0,0.0,0.0,2013,2.0,1958,40,LOW,3.0,0
Bossburg Placer,-117.8,48.72,4.0,3.5,140000,60000,210000,90915,211628,330185,42.0,210.0,4773.0,1336.0,430.0,84.5,32.8,84.5,176.8,0.0,0.0,0.0,0.0,0.0,2019,1.0,1969,40,MEDIUM,2.0,1
Hunters Placer,-118.21,48.14,4.5,3.0,135000,67500,202500,72053,202145,339239,40.0,200.0,4545.0,1273.0,409.0,78.4,24.5,78.4,171.7,92.5,1217.0,85.6,26.9,211.3,2020,0.5,1971,20,HIGH,2.48,2
Northport Placer,-117.78,48.92,3.5,3.0,105000,35000,157500,88459,154782,224226,42.0,210.0,4773.0,1336.0,430.0,64.7,30.2,64.7,120.8,0.0,0.0,0.0,0.0,0.0,2019,1.0,1968,40,MEDIUM,2.0,1
Kettle Falls Placer,-118.06,48.6,5.5,3.0,165000,82500,247500,90133,247481,403228,8.0,40.0,909.0,255.0,82.0,19.4,6.0,19.4,41.4,99.5,1309.0,115.0,35.5,274.8,2020,0.5,1968,40,MEDIUM,2.0,1
Brender Placer,-119.42,48.51,3.2,3.5,112000,48000,168000,76869,168394,259289,8.0,40.0,909.0,255.0,82.0,13.2,5.1,13.2,27.1,0.0,0.0,0.0,0.0,0.0,2016,1.0,1969,40,MEDIUM,3.0,1
Meyers Creek Placer,-119.1,48.32,2.8,2.5,70000,28000,105000,51028,104174,158773,8.0,40.0,909.0,255.0,82.0,8.1,3.3,8.1,16.4,0.0,0.0,0.0,0.0,0.0,2016,1.0,1966,40,MEDIUM,3.0,0
